2025-04-18 12:13:00.586 [] INFO  - com.springbootmongo.SpringBootProjectWithMongoDbApplication - Starting SpringBootProjectWithMongoDbApplication using Java 21.0.3 with PID 21944 (C:\Users\mukes\IdeaProjects\User-and-Journal-Project-\target\classes started by mukes in C:\Users\mukes\IdeaProjects\User-and-Journal-Project-)
2025-04-18 12:13:00.592 [] INFO  - com.springbootmongo.SpringBootProjectWithMongoDbApplication - The following 1 profile is active: "dev"
2025-04-18 12:13:01.754 [] INFO  - org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2025-04-18 12:13:01.821 [] INFO  - org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 57 ms. Found 3 MongoDB repository interfaces.
2025-04-18 12:13:02.403 [] INFO  - org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8182 (http)
2025-04-18 12:13:02.421 [] INFO  - org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8182"]
2025-04-18 12:13:02.423 [] INFO  - org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-04-18 12:13:02.424 [] INFO  - org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.36]
2025-04-18 12:13:02.477 [] INFO  - org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/journal] - Initializing Spring embedded WebApplicationContext
2025-04-18 12:13:02.477 [] INFO  - org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1833 ms
2025-04-18 12:13:02.960 [] INFO  - org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.2.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Amazon.com Inc./21.0.3+9-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='mukeshyadavbt01', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsCommandListener@54489296], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@59ec7020, com.mongodb.Jep395RecordCodecProvider@23f60b7d, com.mongodb.KotlinCodecProvider@2ba9f986]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.xx3j9.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-7ljfqw-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsConnectionPoolListener@633ddc0c], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
2025-04-18 12:13:02.979 [] INFO  - org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-00.xx3j9.mongodb.net:27017 to client view of cluster
2025-04-18 12:13:03.030 [] INFO  - org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-02.xx3j9.mongodb.net:27017 to client view of cluster
2025-04-18 12:13:03.033 [] INFO  - org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-01.xx3j9.mongodb.net:27017 to client view of cluster
2025-04-18 12:13:03.294 [] INFO  - org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 5. Remaining time: 29989 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=cluster0-shard-00-00.xx3j9.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=cluster0-shard-00-02.xx3j9.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=cluster0-shard-00-01.xx3j9.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
2025-04-18 12:13:03.656 [] INFO  - org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-01.xx3j9.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=324040700, minRoundTripTimeNanos=0, setName='atlas-7ljfqw-shard-0', canonicalAddress=cluster0-shard-00-01.xx3j9.mongodb.net:27017, hosts=[cluster0-shard-00-01.xx3j9.mongodb.net:27017, cluster0-shard-00-00.xx3j9.mongodb.net:27017, cluster0-shard-00-02.xx3j9.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.xx3j9.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=325, topologyVersion=TopologyVersion{processId=67ffd53287e7f745bbb93e4f, counter=3}, lastWriteDate=Fri Apr 18 12:13:03 CDT 2025, lastUpdateTimeNanos=648202936085100}
